2017-05-06 16:32:32Z,activity,change_letter,p,0
2017-05-06 16:32:34Z,activity,change_letter,e,1
2017-05-06 16:32:36Z,activity,change_letter,e,2
2017-05-06 16:32:38Z,activity,change_letter,p,2
2017-05-06 16:32:40Z,activity,submitted_answer,pep   ,pup   
2017-05-06 16:32:41Z,activity,requested_hint,0,NA
2017-05-06 16:32:47Z,activity,submitted_answer,pep   ,pup   
2017-05-06 16:32:51Z,activity,requested_hint,1,NA
2017-05-06 16:33:00Z,activity,change_letter,p,2
2017-05-06 16:33:33Z,activity,change_letter,u,1
