2015-10-01 22:48:25Z,activity,change_letter,b,0
2015-10-01 22:48:26Z,activity,change_letter,e,1
2015-10-01 22:48:29Z,activity,change_letter,t,2
2015-10-01 22:48:32Z,activity,change_letter, ,2
2015-10-01 22:48:32Z,activity,unproductive_error, ,2
2015-10-01 22:48:35Z,activity,change_letter,w,2
2015-10-01 22:48:42Z,activity,change_letter, ,2
2015-10-01 22:48:43Z,activity,change_letter,t,2
2015-10-01 22:48:47Z,activity,change_letter,r,5
2015-10-01 22:48:47Z,activity,unproductive_error,r,5
2015-10-01 22:48:49Z,activity,change_letter,d,3
2015-10-01 22:48:49Z,activity,unproductive_error,d,3
2015-10-01 22:48:51Z,activity,change_letter,f,4
2015-10-01 22:48:51Z,activity,unproductive_error,f,4
