2017-05-06 14:13:19Z,activity,change_letter,p,0
2017-05-06 14:13:21Z,activity,submitted_answer,p     ,pup   
2017-05-06 14:13:22Z,activity,requested_hint,0,NA
2017-05-06 14:13:25Z,activity,requested_hint,0,NA
2017-05-06 14:13:26Z,activity,submitted_answer,p     ,pup   
2017-05-06 14:13:27Z,activity,requested_hint,1,NA
